title,main_artist
Без десяти (Intro),Градусы
Окуметил (Intro),Градусы
Запишу своё сердце на секцию плавания (Intro),Градусы
Intro,Oliver Би-2
Титаник,Би-2
Волшебник,Би-2
Как на войне,Андрей Макаревич
"Где ты был, спросила птица",Би-2
Разве не так,Би-2
Впереди,Би-2
Пилот,Eva Би-2
Быть поблизости,Андрей Макаревич
Тени на стене,Андрей Мисин
На самом деле,Би-2
Что ты видел,Би-2
ХалиГалиКришна,Би-2
Её глаза,Би-2
Бегущий по лезвию бритвы,Би-2
Бегущий по лезвию бритвы,Би-2
Февраль,Би-2
Ярмарка Ska,Би-2
Интро,Ленинград
Дела (Intro),Ленинград
Эксклюзив (Intro),Ленинград
Богиня (Intro),Ленинград
Гусь (Intro),Ленинград
Ёж (Intro),Ленинград
Прости (Intro),Ленинград
Диалектика (Intro),Ленинград
Аддикция (Intro),Ленинград
Булимия (Intro),Ленинград
Лучше не будем (Intro),Ленинград
Если бы (Intro),Ленинград
Как Земфира (Intro),Ленинград
Тост (Intro),Ленинград
Женщина в жёлтом  [Intro],Ленинград
"Привет, Джимми Хендрикс!",Ленинград
Лава,Ёлка
Ночной прованс,Ёлка
Пара,Ёлка
Об альбоме (Intro),Ёлка
Космос (Intro),Ёлка
Моя звезда (Intro),Ёлка
Верь или не верь (Intro),Ёлка
Маленькие люди (Intro),Ёлка
С тобой я должна быть честной (Intro),Ёлка
Случайно (Intro),Ёлка
Нечего терять (Intro),Ёлка
Нечего терять  (Intro),Ёлка
Из окон (Intro),Ёлка
После меня (Intro),Ёлка
Успеть (Intro),Ёлка
Офисный работник,Ёлка
Город мой!,Ёлка
Горы,Ёлка
Лава,Ёлка
Ночной прованс,Ёлка
Пара,Ёлка
Об альбоме (Intro),Ёлка
Космос (Intro),Ёлка
Моя звезда (Intro),Ёлка
Верь или не верь (Intro),Ёлка
Маленькие люди (Intro),Ёлка
С тобой я должна быть честной (Intro),Ёлка
Случайно (Intro),Ёлка
Нечего терять (Intro),Ёлка
Нечего терять  (Intro),Ёлка
Из окон (Intro),Ёлка
После меня (Intro),Ёлка
Успеть (Intro),Ёлка
Офисный работник,Ёлка
Город мой!,Ёлка
Горы,Ёлка
Бей моё сердце,Нервы
Укачу,Нервы
Нарушим,Нервы
Лучшая жизнь,Нервы
Суицид моей веры,Нервы
Не смотри назад,Нервы
Не вместе,Нервы
Курим,Нервы
Будет легче,Нервы
Кому ты звонишь,Нервы
Так как надо,Нервы
Отрицательный герой,Нервы
Её имя,Нервы
Май bye,Нервы
Боль осталась,Нервы
Зажигалки,Нервы
Глупая,Нервы
Самый дорогой человек,Нервы
Спи спокойно,Нервы
Кофе мой друг,Нервы
Лампами,Нервы
Вороны,Нервы
Перегорели,Нервы
"Лето, плавки, рок-н-ролл",Нервы
INTRO - Mum,kizaru
OUTRO,kizaru
8-bit 360°,Элджей
Yamakasi,Miyagi & Andy Panda
Marmalade,Miyagi & Andy Panda
Where Are You,Ollane
Повторим (Intro),Тима Белорусских
Подземка (Intro),Тима Белорусских
Подземка,Тима Белорусских
Одуванчик (Intro),Тима Белорусских
Одуванчик,Тима Белорусских
Во дворе (Intro),Тима Белорусских
Птичка (Intro),Тима Белорусских
Птичка,Тима Белорусских
Любовь по-белорусски (Intro),Тима Белорусских
Не меняй (Intro),Тима Белорусских
Повторим,Тима Белорусских
Подземка,Тима Белорусских
Одуванчик,Тима Белорусских
Во дворе,Тима Белорусских
Птичка,Тима Белорусских
Любовь по Белорусски,Тима Белорусских
Не меняй,Тима Белорусских
Ты где-то там,MOT
Маленький самолёт,INSTASAMKA
Океаны,XOLIDAYBOY
Москва слезам не верит,L'One
Нежность моя,Мари Краймбрери
Капелькою,Amirchik
Рига-Москва,Zivert
Не обижай меня,NLO
Была любовь,Анет Сай
Отпусти меня,ХАННА
Чёрно-белый цвет,Chris Yank
Метелица,Kamazz
Есть в году одна проблема…(interlude),MOT
Август — это ты,MOT
08. ∞ (outro),MOT
Открытие,Мэйби Бэйби
18+,Мэйби Бэйби
Важное объявление,Мэйби Бэйби
Курсы магии,Мэйби Бэйби
Приглашённая звезда,Мэйби Бэйби
Технические неполадки,Мэйби Бэйби
Космический лагерь,Мэйби Бэйби
Закрытие,Мэйби Бэйби
Эта песня для тебя,Юлианна Караулова
Intro,Хаски
Outro,Хаски
Track 01,Хаски
Track 03,Andy Panda
Эщкере,Face Palm
This Is The Night,Face
This Is The Night,Face
This Is The Night,Face
This Is The Night,Face
Clever,Face
Fellas,Face
Motives,Face
Way Back,Face
Vybez I'm On,Face
Origianl Gladiator,Face
Techno Blast,Face
Day by Day,Face
Dubbin,Face
She Dont Love You,Face
The Rat,Face
Terrified Clowns,Face
Take Me Down to the River,Face
My Sexy,Face
Rag Doll,Face
CROSS IN LOVE,Face
Paysage,Face
La vie tous les jours,Face
L'amour sacré,Face
Séparation,Face
Snow Rain,Face
20$ 50$ 100$,Face
Nout nation,Face
Zia,Face
Mi compren pi,Face
Mon dalon,Face
Ma fille,Face
Boug san traca,Face
Mon cafrine,Face
Petite fille,Face
Marche 2008,Face
СНЕГ НАЧНЁТСЯ,Земфира
мама,Земфира
Северная прелюдия,Земфира
Фанни,Земфира
Шкатулка,Земфира
Ария Дивы,Земфира
Сундуки Лотты,Земфира
Ребенок,Земфира
Бенедикт,Земфира
Сука,Земфира
Маргарита,Земфира
Фанни,Земфира
Смерть Фанни,Земфира
Прах,Земфира
Loverboy,Дора
Умамы,Потап и Настя
Все пучком,Потап и Настя
Разгуляй,Потап и Настя
Life in da Trash,Little Big
"I’m not evil, I’m sad",IC3PEAK
СЛАДКО,SEREBRO
СЛАДКО (Slowed + Reverb),SEREBRO
СЛАДКО (Speed Up),SEREBRO
Red,SEREBRO
Violet,SEREBRO
Green,SEREBRO
Yellow,SEREBRO
Sky Blue,SEREBRO
Vinous,SEREBRO
White,SEREBRO
Blue,SEREBRO
Red 2,SEREBRO
Orange,SEREBRO
Надоело (105) (Sped Up),SEREBRO
Надоело (105) (Slowed + Reverb),SEREBRO
интро,Ночные Снайперы
столица,Ночные Снайперы
асфальт,Ночные Снайперы
розы,Ночные Снайперы
интро,Ночные Снайперы
заметь (интро),Ночные Снайперы
заметь,Ночные Снайперы
авиарежим (интро),Ночные Снайперы
самый красивый гопник (интро),Ночные Снайперы
самый красивый гопник,Ночные Снайперы
неторопливая любовь (интро),Ночные Снайперы
неторопливая любовь,Ночные Снайперы
секунду назад (интро),Ночные Снайперы
ночь без (интро),Ночные Снайперы
ночь без,Ночные Снайперы
переживем (интро),Ночные Снайперы
переживем,Ночные Снайперы
марракеш-марокко (интро),Ночные Снайперы
марракеш-марокко,Ночные Снайперы
рим (интро),Ночные Снайперы
эксперимент (интро),Ночные Снайперы
казино (интро),Ночные Снайперы
камень (интро),Ночные Снайперы
кислород (интро),Ночные Снайперы
кислород,Ночные Снайперы
ограда,Ночные Снайперы
блины по-снайперски,Ночные Снайперы
колыбельная по-снайперски,Ночные Снайперы
лето-пиво,Ночные Снайперы
актриса,Ночные Снайперы
инстаграм,Ночные Снайперы
нелюбовь,Ночные Снайперы
рингтоном,Ночные Снайперы
разбуди меня,Ночные Снайперы
юго2,Ночные Снайперы
гавань,Ночные Снайперы
instagram,Ночные Снайперы
светофоры,Ночные Снайперы
по твоей земле,Ночные Снайперы
стерх и лебедь,Ночные Снайперы
расстреляли нежность,Ночные Снайперы
вороны ложатся спать,Ночные Снайперы
Смельчак и ветер,Король и Шут
Верная жена,Король и Шут
Злодей и шапка,Король и Шут
От женщин кругом голова,Король и Шут
Рыбак,Король и Шут
Любовь и пропеллер,Король и Шут
С тех пор как он ушёл,Король и Шут
В доме суета,Король и Шут
Лесные разбойники,Король и Шут
Король и Шут,Король и Шут
Два друга и разбойники,Король и Шут
Сапоги мертвеца,Король и Шут
Паника в селе,Король и Шут
История о мёртвой женщине,Король и Шут
Кукольный театр,Король и Шут
"Он не знает, что такое жить!",Король и Шут
Сказка про дракона,Король и Шут
Инструмент,Король и Шут
Собрание,Король и Шут
Охотник (Из сериала «Король и Шут»),Король и Шут
Город мертвецов,Король и Шут
Сказка о мертвеце,Король и Шут
Королева-Ведьма,Король и Шут
В доме суета,Король и Шут
Скупой,Король и Шут
Солдат и Колдун,Король и Шут
В доме смерть,Король и Шут
Солдат и Чёрт,Король и Шут
Кобылья голова,Король и Шут
Мёртвый жених,Король и Шут
Верная жена,Король и Шут
Чёрт и мужик,Король и Шут
Три фельдшера,Король и Шут
Любовь и пропеллер,Король и Шут
Сапоги Колдуна,Король и Шут
Рассказ о Ведьме,Король и Шут
Скрипач в аду,Король и Шут
Fine,Сплин
Океан,Сплин
Шаги,Сплин
Паровоз,Сплин
Голос за кадром,Сплин
Вдруг ушли поезда,Мумий Тролль
Утекай,Мумий Тролль
Морская болезнь,Мумий Тролль
Роза Люксембург,Мумий Тролль
Кот кота (Вот и вся любовь),Мумий Тролль
Забавы,Мумий Тролль
Время тепла,Мумий Тролль
Делай меня точно,Мумий Тролль
Всецело всем,Мумий Тролль
Новая луна апреля,Мумий Тролль
Запуск ракетоплана «Иосиф Сталин» на Луну,Мумий Тролль
Фламенко Красотки ч. 2,Мумий Тролль
Зеленый rocks,Мумий Тролль
Зеленый rocks,Мумий Тролль
Боксерский Вальс ч. 2 «Карамель»,Мумий Тролль
Боксерский вальс,Мумий Тролль
Боксерский Funky вальс,Мумий Тролль
Мечты,Ария
Память о...,Ария
Мечты,Ария
Беги за солнцем,Ария
Не обижай меня,Валерия
Над Москвою чистое небо,Валерия
Птицы летят на юг,Валерия
Небеса,Валерия
Кода (Инструментал),Валерия
Голос высокой травы,Леонид Агутин
Ай-ай-ай,Леонид Агутин
Авторское кино,Леонид Агутин
Mas Que Nada,Леонид Агутин
Come Together,Леонид Агутин
Льдинка,Леонид Агутин
Shape of My Heart,Леонид Агутин
Памяти Карузо,Леонид Агутин
На семи холмах,Леонид Агутин
Последний день в году,Леонид Агутин
Синей реки вода,Леонид Агутин
Я буду всегда с тобой (feat. Анжелика Варум),Леонид Агутин
Если ты когда-нибудь меня простишь,Леонид Агутин
На сиреневой луне,Леонид Агутин
Без тебя,Леонид Агутин
Двери в небеса,Леонид Агутин
Ты вернешься когда-нибудь снова,Леонид Агутин
Февраль (feat. Анжелика Варум),Леонид Агутин
Все только для тебя,Леонид Агутин
Не уходи далеко,Леонид Агутин
Две дороги. два пути (feat. Анжелика Варум),Леонид Агутин
Время последних романтиков,Леонид Агутин
Игрушки,Леонид Агутин
Привокзальное кафе,Леонид Агутин
Дождик,Леонид Агутин
Почему,Леонид Агутин
В городе снов,Леонид Агутин
Просто танец,Леонид Агутин
Маэстро,Леонид Агутин
Февраль,Леонид Агутин
Прощай,Леонид Агутин
"Две дороги, два пути",Леонид Агутин
"Скажи, что ты любишь",Витас
Не буди меня,Витас
Восемь пробьёт,Витас
Я скучаю по тебе,Витас
Отцвели хризантемы,Витас
Одесса,Витас
Интро,Витас
Богом прощённый,Витас
Клёвый мьюзик,Витас
Не прощайте меня,Витас
День рождения моей смерти,Витас
The King,Timmy Trumpet
Маленький принц,Витас
Мудрец,Витас
Тополь,Витас
В шортиках и в маечке,Витас
7th Element,Витас
Dangerous Heart,Tony Kairom
RDF OUT,Joel Deloyr
Gimme A Now Always,Elody Mersel
Hot For You,Withus
Root Sound,Miguel Serrano
Desire,Fishbird
Manhattan,Milk Bar
Amateur,Erectus Void
Pirates,Simone Bica
Let The Bass Kick,Connor b
Increase,Good Days
Fluid Structures,Homo-Lumos
Symptoms,Miguel Serrano
The Passage,Erectus Void
Falling Edges,Advic - D
Listen Up,Franklyn Weeks
Yes Underground,Techno Mama
Tech Affection,Sacred Tech
Desire,Fishbird
Peptide,Advic - D
Genetix,Erectus Void
House Feelings,David Calfan
Empirical,David Sanches
Indigo,Bio Techno
Disco Record,Bradley Richards
"О, Боже, какой мужчина!",Натали
Мегамикс,Натали
Звезда по имени Солнце,Натали
Не уноси моё счастье,Натали
Мужчина-мечта!,Натали
Как сладко быть мамой,Натали
Первый луч,Натали
"О, Боже, какой мужчина!",Натали
Первый луч,Натали
Давай со мной за звёздами,Натали
Как сладко быть мамой,Натали
"О, Боже, какой мужчина!",Натали
Не уноси моё счастье,Натали
Давай со мной за звёздами,Натали
Как сладко быть мамой,Натали
Прекрасное далёко,Натали
Первый луч,Натали
Посвящение друзьям,Натали
Звезда по имени Солнце,Натали
Лодочка,Натали
Посвящение друзьям,Натали
Звезда по имени Солнце,Натали
Ветер с моря дул,Натали
"О боже, какой мужчина",Натали
Я уезжаю от тебя,Натали
Лодочка,Натали
Считалочка,Натали
Давай со мной за звёздами,Натали
"О, Боже, какой мужчина!",Натали
Ветер с моря дул Remix,Натали
Прекрасное далёко,Натали
"О, Боже, какой мужчина!",Натали
"О, Боже, какой мужчина!",Натали
"О, Боже, какой мужчина",Натали
"О, Боже, какой мужчина!",Натали
Nick Stay feat. Dj K'1 remix),Натали
"О, Боже, какой мужчина!",Натали
"О, Боже, какой мужчина! (Dj Tarantino & Dj XXX)",Натали
"О, Боже, какой мужчина!",Натали
"О, Боже, какой мужчина!",Натали
"О, Боже, какой мужчина! (караоке)",Натали
Живу и таю,Стас Михайлов
Офицер белый,Стас Михайлов
Не обижайтесь (Война),Стас Михайлов
Ты в раю,Стас Михайлов
Время прощаться,Стас Михайлов
Я верю,Стас Михайлов
Засыпает лес,Стас Михайлов
Просто любить,Стас Михайлов
Серый дождь,Стас Михайлов
Птица (Птицей раненой),Стас Михайлов
Забудь,Стас Михайлов
Живу и таю,Стас Михайлов
Живу и таю,Стас Михайлов
Просто кончилась война,Стас Михайлов
На острие судьбы,Стас Михайлов
Я буду с тобой,Стас Михайлов
Ты в раю,Стас Михайлов
Разрушительница,Стас Михайлов
Дайте мне,Стас Михайлов
Ты...,Стас Михайлов
Исповедь,Стас Михайлов
Всё для тебя,Стас Михайлов
Где ты?,Стас Михайлов
Спящая красавица,Стас Михайлов
Дай нам Бог,Стас Михайлов
Наша жизнь,Стас Михайлов
"Тебе, моя последняя любовь",Михаил Круг
"Постой, душа",Михаил Круг
Пацаны,Михаил Круг
Две судьбы,Михаил Круг
Сколько лет (Цыганская),Михаил Круг
Старая песня,Михаил Круг
Белый снег,Михаил Круг
Здравствуй,Михаил Круг
Возвращайся,Михаил Круг
Искры в камине,Михаил Круг
Жиган - Лимон,Михаил Круг
СПИДу - нет!,Михаил Круг
Электричка,Михаил Круг
Ты к запретке подойдешь,Михаил Круг
Девочка-пай 2,Михаил Круг
Светочка,Михаил Круг
Водочку пьем,Михаил Круг
Это было вчера [Вот и все],Михаил Круг
Зеленый прокурор,Михаил Круг
Тишина,Михаил Круг
Я горько рыдаю,Михаил Круг
Воля и покой,Михаил Круг
Рябина,Михаил Круг
Когда ты скажешь прощай,Burito
Intro,Burito
Стих 2,Burito
Стих 3,Burito
Rab Kinoflo,Burito
Стих 4,Burito
Стих 5,Burito
Стих 6,Burito
24 фрейма,Burito
Стих 7,Burito
Интро,Burito
Интро,Burito
Стих 2,Burito
Стих 3,Burito
Стих 4,Burito
Стих 5,Burito
Стих 6,Burito
Стих 7,Burito
Стих 8,Burito
Стих 9,Burito
Стих 10,Burito
Стих 11,Burito
Кошка (Intro),Мэвл
Попытка номер 5 (Intro),Мэвл
Подруга (Intro),Мэвл
Безумно (Intro),Мэвл
Буду признаваться (Intro),Мэвл
Холодок (Intro),Мэвл
Супергерой (Intro),Мэвл
Хм... [скит],GUF
Скит с Сэмом,GUF
ПНП,GUF
Скажи,GUF
Intro,GUF
Outro,GUF
Деньги,Джиган
Ночь на карнавале,Джиган
Ты рядом,Джиган
XI XI XI,ZOLOTO
Непроизошло,ZOLOTO
Золототонны,ZOLOTO
Прикоснись ко мне,ZOLOTO
Кто нам поможет,ZOLOTO
Танго,ZOLOTO
Тянет,ZOLOTO
Последний снег,ZOLOTO
Грустно на афтепати,ZOLOTO
Пока,ZOLOTO
Улицы ждали,ZOLOTO
Эскимос,ZOLOTO
Не уходи,ZOLOTO
Танцы,ZOLOTO
Дома,ZOLOTO
Я ненавижу свет,ZOLOTO
Стихнет мотор,ZOLOTO
Останемся здесь,ZOLOTO
Не верь слезам,ZOLOTO
Сверчки,ZOLOTO
Улицы ждали,ZOLOTO
Эта песня для тебя,Юлианна Караулова
Маршрутка,Марсель
Сердце на клочки,Марсель
Туман,Марсель
Музыка крыш,Марсель
Люди,ChipaChip
Интро,Марсель
"Здравствуй, мам",Марсель
В этой войне,Марсель
Я жду тебя,Марсель
Рядом со мной,Марсель
Реки растают,Три дня дождя
МАЛЬЧИК,кис-кис
МАЛЬЧИК,кис-кис
МАЛЬЧИК,кис-кис
Инструментал,The Hatters
Просто проваливай (Акустика),The Hatters
Время пришло,The Hatters
Просто проваливай,The Hatters
Так тебе и надо,The Hatters
Ума Турман,Uma2rman
"Здравствуй, дорогая",Uma2rman
Объясни мне,Uma2rman
Дай,Uma2rman
Че Гевара,Uma2rman
Весеннее обострение,Uma2rman
Блюз,Uma2rman
Калифорния,Uma2rman
Женщина,Uma2rman
Романс,Uma2rman
Скажи,Uma2rman
Теннис,Uma2rman
Дайте сигарету,Uma2rman
Любовь на сноуборде,Uma2rman
Тили-Бом,Uma2rman
Калория,Uma2rman
Молитва,Uma2rman
Собака без передней ноги,Uma2rman
За тобой,Uma2rman
Диджитал Раша,Uma2rman
Музыки осталось мало,Uma2rman
Ракета,Тимати
Мама - Америка,Винтаж
Ясный мой свет,Винтаж
24/7,ST
Ну чё?,ST
Педали,ST
У моей девушки день рождения,T-Fest
Пол коробка,T-Fest
Ничего знакомого,T-Fest
Sold out,T-Fest
Outro,T-Fest
Скит 2,T-Fest
Интро,T-Fest
Скит 2,T-Fest
Интро,МУККА
Пассивка,OG Buda
Джефф Харди,OG Buda
Подсадил,OG Buda
Больно,OG Buda
Кумир,OG Buda
Кровосток,OG Buda
Зомби,OG Buda
Откровения,OG Buda
Печеньки,OG Buda
Начало,OG Buda
Стрипуха,OG Buda
Coldest Man,Big Baby Tape
MJ Flow,Big Baby Tape
Not Obama,Big Baby Tape
Da Law,Big Baby Tape
BFF Interlude,Big Baby Tape
Closer,Big Baby Tape
Taz Muzik,Big Baby Tape
FREESOSA,Big Baby Tape
Krug,Big Baby Tape
Four Seasons,Big Baby Tape
DB Outro,Big Baby Tape
Хлопья летят наверх,FEDUK
Турки,Lil Melon
Новый день,Toobe
Мы ждём,Nokanie
Взрываю подземку,Nokanifol'
Саксофон Soul,FEDUK
Порыв,Riva-ma
2 A.M.,FEDUK
Этим летом,FEDUK
Ол Сити,Toobe
Слушай сердце,Гриша Будапешт
В полёте,Toobe
Ван лав,FEDUK
Удачи неудачникам,FEDUK
2 BOYZ NO CAP (Intro),Джарахов
Шаlove,Джарахов
212 декабря – Skit,Джарахов
INTRO,Джарахов
INTRO,ATL
ГАНДИКАП,Boulevard Depo
OU,Boulevard Depo
Мои пацаны,Слава КПСС
Элизиум,Слава КПСС
Блеск и нищета,Слава КПСС
Кристал Кейт,Слава КПСС
Все любят мертвых,Слава КПСС
Хит Леджер,Слава КПСС
Нас делают травмы,Слава КПСС
Я не верю в смерть,Слава КПСС
Икар,Слава КПСС
Русское поле,Слава КПСС
Духовная нищанка,Слава КПСС
No Thanks,Слава КПСС
Гарантийные Человечки,Слава КПСС
Пацанский Блэк,Слава КПСС
Купидоны,Слава КПСС
Культура G,Слава КПСС
Курить и сдохнуть,Слава КПСС
HYPEINTRO,ЗАМАЙ
#FREEYUNGTRAPPA,ЗАМАЙ
Giger,ЗАМАЙ
Облажает,ЗАМАЙ
Сэймяу Game,ЗАМАЙ
Сука не нужна,ЗАМАЙ
Районная,ЗАМАЙ
Вне игры,ЗАМАЙ
Боевой шок,ЗАМАЙ
Реп-мент,ЗАМАЙ
Дурь-трава,ЗАМАЙ
Весна,ЗАМАЙ
Техника молодёжи,ЗАМАЙ
Сиплота,ЗАМАЙ
Эльдорадо,ЗАМАЙ
Фонк гука,ЗАМАЙ
HYPEINTRO,ЗАМАЙ
#FREEYUNGTRAPPA,ЗАМАЙ
Giger,ЗАМАЙ
Облажает,ЗАМАЙ
Сэймяу Game,ЗАМАЙ
Сука не нужна,ЗАМАЙ
Районная,ЗАМАЙ
Вне игры,ЗАМАЙ
Боевой шок,ЗАМАЙ
Реп-мент,ЗАМАЙ
Дурь-трава,ЗАМАЙ
Весна,ЗАМАЙ
Техника молодёжи,ЗАМАЙ
Сиплота,ЗАМАЙ
Эльдорадо,ЗАМАЙ
Фонк гука,ЗАМАЙ
Из 10,ЗАМАЙ
SpaceGhostPurrp,ЗАМАЙ
Сайфер с Богом,ЗАМАЙ
Мем,ЗАМАЙ
В замогильной сторонке,ЗАМАЙ
Артезиан,ЗАМАЙ
ANTI,ЗАМАЙ
Баллада Дегенерата,ЗАМАЙ
Акын,ЗАМАЙ
Кроссовки,ЗАМАЙ
Добро и любовь,ЗАМАЙ
Дольче Габана,ЗАМАЙ
Соечка,ЗАМАЙ
Меланхолия Drive 3,ЗАМАЙ
Bobongida,ЗАМАЙ
Bpm 1,ЗАМАЙ
Козырной,ЗАМАЙ
Герой нашего времени,ЗАМАЙ
Русский трэп,ЗАМАЙ
2002,ЗАМАЙ
Свет звёзд,ЗАМАЙ
Опять надо жить,ЗАМАЙ
Коктейль,ЗАМАЙ
All PARS,ЗАМАЙ
6 июня,ЗАМАЙ
"Окружен, но не сломлен",ЗАМАЙ
ББС,ЗАМАЙ
Мышка-норушка,ЗАМАЙ
Хан-Тенгри,ЗАМАЙ
Дерсу Узала,ЗАМАЙ
Bpm 2,ЗАМАЙ
"Замки, кошельки и гели",ЗАМАЙ
"Мы русские, с нами Боб",ЗАМАЙ
Biggie Smalls,ЗАМАЙ
Пакеда,ЗАМАЙ
Тридцать,ЗАМАЙ
Пусть,ЗАМАЙ
Бесполезное,ЗАМАЙ
ДЛТ,ЗАМАЙ
2003,ЗАМАЙ
patreon,ЗАМАЙ
ДДТ,ЗАМАЙ
Бёрдмэн,ЗАМАЙ
Бешбармак,ЗАМАЙ
Дай мне повод,ЗАМАЙ
